name	value	family	file_offset
SSTP_BABYPL_CRY	24	SSTP_	0x810088
SSTP_TIBIPL_GOTO_GY	22	SSTP_	0x8100AC
SSTP_TIBIPL_HOYO_INIT	22	SSTP_	0x8100D0
SSTP_TIBIPL_OBJW_OWN	23	SSTP_	0x8100F4
SSTP_TIBINIKO_GOTO_GY	24	SSTP_	0x810118
SSTP_TIBINIKO_IZIMERU_INIT	22	SSTP_	0x81013C
SSTP_TIBINIKO_C_TO_B_INIT	23	SSTP_	0x810160
SSTP_TIBINIKO_CRY_INIT	24	SSTP_	0x810184
SSTP_PLT_DM_SLEEP	25	SSTP_	0x8101A8
SSTP_PLT_DM_KICKED_BFR	22	SSTP_	0x8101CC
SSTP_PLT_DM_STANDUP	23	SSTP_	0x8101F0
SSTP_PLT_DM_BIKU_BFR	24	SSTP_	0x810214
SSTP_PLT_DM_MAMTALK	25	SSTP_	0x810238
SSTP_PLT_DM_MAMTALKEND	26	SSTP_	0x81025C
SSTP_PLT_DM_YODA_MV	27	SSTP_	0x810280
SSTP_PLT_DM_YODA_STDWN	28	SSTP_	0x8102A4
SSTP_PLT_DM_YODA_POKA	29	SSTP_	0x8102C8
SSTP_PLT_DM_YODA_STDUP	30	SSTP_	0x8102EC
SSTP_PLT_DM_YUKA_HOSEI	31	SSTP_	0x810310
SSTP_PLT_DM_MOGURA_POS_SET	32	SSTP_	0x810334
SSTP_PLT_DM_EAT	33	SSTP_	0x810358
SSTP_PLT_DM_DEAD	34	SSTP_	0x81037C
SSTP_PLT_DM_CARRYUP	35	SSTP_	0x8103A0
SSTP_PLT_DM_CARRYWAYTGT	36	SSTP_	0x8103C4
SSTP_PLT_DM_CARRYWALKTGT	37	SSTP_	0x8103E8
SSTP_PLT_DM_KICKED	38	SSTP_	0x81040C
SSTP_PLT_DM_SWIM_BFR	39	SSTP_	0x810430
SSTP_PLT_DM_SWIM	40	SSTP_	0x810454
SSTP_PLT_DM_SWIM_AFTR	41	SSTP_	0x810478
SSTP_PLT_DM_JMPUP_POS_SET	42	SSTP_	0x81049C
SSTP_PLT_DM_BIKU	43	SSTP_	0x8104C0
SSTP_PLT_DM_NICPAN	44	SSTP_	0x8104E4
SSTP_PLT_DM_NOW_GETITEM	45	SSTP_	0x810508
SSTP_PLT_DM_KAO_UP	46	SSTP_	0x81052C
SSTP_PLT_DM_KAO_DOWN	47	SSTP_	0x810550
SSTP_PLT_DM_UDAUDA	48	SSTP_	0x810574
SSTP_PLT_DM_BATH	49	SSTP_	0x810598
SSTP_PLT_DM_BATH_TURN	50	SSTP_	0x8105BC
SSTP_PLT_DM_DAMAGE0	51	SSTP_	0x8105E0
SSTP_PLT_DM_DAMAGE1	52	SSTP_	0x810604
SSTP_NIKO_DM_TALK	53	SSTP_	0x810628
SSTP_NIKO_DM_BURI	22	SSTP_	0x81064C
SSTP_NIKO_DM_DOTUKI	23	SSTP_	0x810670
SSTP_NIKO_DM_GOAWAY	24	SSTP_	0x810694
SSTP_NIKO_DM_GOAWAYOUT	25	SSTP_	0x8106B8
SSTP_NIKO_DM_TALK_LEFT	26	SSTP_	0x8106DC
SSTP_NIKO_DM_TALK_RIGHT	27	SSTP_	0x810700
SSTP_NIKO_DM_ATTACK_BFR	28	SSTP_	0x810724
SSTP_NIKO_DM_DOWNWAY	29	SSTP_	0x810748
SSTP_NIKO_DM_ANG_ORG_LEFT	30	SSTP_	0x81076C
SSTP_NIKO_DM_GOAWAY2	31	SSTP_	0x810790
SSTP_NIKO_DM_L_BURI	32	SSTP_	0x8107B4
